UID,VER,VALID,Age,Gender,Smartphone,Wearable,Q1,Q2.1,Q2.2,Q2.3,Q2.4,Q3,Q3.1,Q3.2,Q3.3,Q3.4,Q4,Q5,Q6,Q7,Q8,Q9,Q10
P49,2,,23,M,SM-G885S,Galaxy Watch Active2,출퇴근 및 점심 저녁 식사를 위한 이동. 일과 중 10~20분 산책,N,P,B,P,,0,0,0,0,Enter,10:00,24:00:00,8:30,2:00,주말에는 출근하는 경우에만 착용합니다.,Shower
P50,2,0,18,M,,Galaxy Watch3,"소망관에서 카이마루로 식사하러 갈 때, 도서관 갈 때, 동아리방을 갈 때 걷는 것 같습니다.",B,B,B,P,DAT,1,0,0,0,Enter,12:00,23:00,9:00,2:00,충전 할 때를 제외하고는 항상 착용합니다,Shower
P51,2,,22,M,SM-N971N,Galaxy Watch Active2,"온라인 수업이라 주로 집에 있습니다 그래서 매일 마트 갈 때, 쓰레기 버리러갈 때 10~20분 정도 걷습니다",W,W,W,W,Notf,0,1,0,0,Enter,,,9:00,23:00,매일 샤워시 제외 24시간 착용,Shower
P52,1,0,37,M,,,"주로 앉아서 일하며, 업무중 이동 적습니다출퇴근시 1시간 소요 되는 대중교통 이용으로 15분 정도 걷게 되며, 퇴근후 체육관에 가서 근력운동 위주의 활동을 합니다",,,,,,,,,,,7:00,16:00,5:30,22:00,주로 집에서 보내고 가족과 함께 1시간 정도 외부 활동 합니다,"Sleep, Shower, Home"
P53,1,,19,M,SM-N976N,"Galaxy Fit2, Galaxy Watch Active2",학교에서 수업을 듣고 강의실 이동을 위해 다른건물로 걸어서 이동합니다학교에서 10분정도 거리의 지하철로 걸어서 이동후 볼링장을 갑니다,,,,,,,,,,,9:30,16:00,8:00,0:30,주말엔 주로 볼링장을 가고 3시간정도 볼링을 칩니다,"Shower, Sleep"
P54,2,,28,W,SM-G977N,Galaxy Watch Active,"평소에는 자전거를 타고 출퇴근을 하지만 자전거를 다른 곳에 놓고 오거나, 비가 오는 경우에는 걸어서 출퇴근을 합니다. 최근에는 주 4회 정도, 주로 밤에 달리기를 하였습니다.",W,P,B,B,"Sleep, Exercise",0,0,1,1,Enter,10:30,21:00,9:00,2:00,충전할 때 빼고는 항상 착용합니다.,Shower
P55,1,0,30,M,SM-N971N,,실험하면서 걷는활동이 잦고 사무시간에는 주로 앉아있습니다.운동을가게되면 50분가량 런닝머신을타지만 기록이되지않았을수 있습니다. 그 외 시간을두고 걷는활동은 거의 없습니다. 헬스장 왕복 10분정도 있음.,,,,,,,,,,,9:00,18:00,7:10,24:00:00,주로집에서 보내나 외출하는경우 걷기도합니다,Sleep
P56,1,,40,M,SM-G986N,Galaxy Fit2,사무실에서 대기하다 회사내의 기계나 장비 고장 발생시 점검 이나 수리업무 합니다.주의 3일정도 조깅 운동합니다. 시간 평일이라도 시간 날때 30분에서 40분정도 운동합니다.,,,,,,,,,,,9:00,18:00,7:00,23:30,주말에 이틀쉬면 하루는 조깅과 근력운동 1시간 30분정도 하고 하루는 아무것도 안하고 푹 쉽니다.,"Shower, Home"
P57,1,,35,M,SM-N976N,"Galaxy Watch4, Galaxy Watch Active2","사무실에서 컴퓨터를 사용하고 필요한 물품을 정리 하기 위해 한번씩 움직이도 출근,퇴근 때 지하주차장 및 지상2층 탈의실 이용지상2층에서 지하1층으로 이동 후 자차이용, 지하2~3층 주차장에서 1층으로 이동",,,,,,,,,,,9:00,18:00,7:20,1:30,"주로 주말에 집에서 보냈고 한번씩 외출(부모님댁 방문, 카페 이용 등)",Home
P58,1,,28,M,SM-G975N,Galaxy Watch Active2,주로 컴퓨터를 사용하고 사무실 이동 시 걸어서 합니다(계단)퇴근 후 자가용을 이용해 집에 돌아가 저녁을 먹습니다.,,,,,,,,,,,8:00,17:00,7:00,23:00,주로 집이나 데이트(외출)하고 주로 차로 이동합니다.,"Sleep, Home, Shower"
P59,2,,28,M,SM-F700N,Galaxy Fit2,출퇴근 시,W,W,B,B,"Sleep, DAT, Notf",1,1,0,1,Enter,8:00,17:00,7:00,24:00:00,계속 착용,Charge
P60,1,,20,M,SM-N986N,"Galaxy Watch4, Galaxy Watch Active2",주로 컴퓨터 앞에 있고 걸어서 이동합니다20분정도 걷는 산책합니다,,,,,,,,,,,9:00,22:00,8:40,24:00:00,주로 집에서 활동하며 40분 정도 마트등을 갔다옴,"Shower, Charge, Sleep, Home"
P61,2,,24,M,SM-G977N,Galaxy Watch4 Classic,"연구실로 출퇴근할때 25분 정도 되는 거리를 왕복하고, 헬스장에 가면 런닝머신에서 30분 정도 걷습니다",N,B,B,P,"Notf, Exercise",0,1,1,0,,10:00,18:00,9:00,2:00,일어나면 바로 착용하는 편입니다,Shower
P62,1,,25,W,SM-G981N,Galaxy Fit,"주로 사무실에서 앉아서 컴퓨터를 사용하면서 일을 하고, 회의를 위해서 자주 층간 이동을 하거나 식사를 위해 걸어서 이동합니다. 그리고 실험을 위해 움직이는 경우가 있습니다.퇴근후 10분정도 걸어서 밥을 먹고 일주일에 두번정도 1시간 걷기 운동합니다.",,,,,,,,,,,9:00,20:00,8:20,0:30,"주로 주말에는 집에서 보내고, 밤에 1시간 정도 공원을 산책합니다","Sleep, Shower"
P63,1,0,46,M,SM-N976N,,"이곳 저곳을 자주 걷고, 주로 대중교통을 이용늦은 저녁시간에 집에서 저녁밥을 먹고 혈당 수치를 천천히 올리지 않고 소모하기 위해서 새벽0시에 1만보 걷기 운동을 합니다.",,,,,,,,,,,9:00,19:00,7:00,2:00,늦은저녁에 저녁밥을 먹고 혈당수치를 천천히 올리기 위해 새벽0시에 1만보 걷기운동을 하고 있다.,"Sleep, Home, Shower"
P64,2,,49,M,SM-G991N,"Galaxy Watch4 Classic, Galaxy Watch",저녁 운동,P,P,B,B,Exercise,0,0,1,0,,8:00,18:00,6:30,24:00:00,운동,Shower
P65,2,,24,M,SM-F711N,Galaxy Watch4,"학교 독서실
지하철이나 버스에서 내려서 목적지에 갈때
하루에 1만보 걷으려함",P,P,W,P,Exercise,0,0,1,0,Enter,12:00,24:00:00,10:00,2:00,거의 쓰지않음 운동시에만 사용,Toilet
P66,2,,24,M,SM-G781N,Galaxy Watch4,"공부 목적으로 도서관, 카페 방문시
저녁~밤 시간대 1시간 가량 산책시",P,B,B,P,"Notf, DAT",1,1,0,0,Enter,15:00,22:00,9:30,2:00,외출할 일이 있을 때만 착용합니다.,"Home, Toilet, Shower"
P67,1,0,20,M,,Galaxy Fit2,"등하교시 약 3km가량을 왕복으로 걸었으나, 온라인 강의로 이동량이 급감했습니다.일정이 가능하다면, 친구들과 야외 코트에서 배드민턴을 합니다.",,,,,,,,,,,9:30,18:15,8:30,1:00,"주말은 때에 따라 다른데, 여행을 갈 경우 하루 1만걸음 이상 걸으나, 집에 있을 경우 하루 1천걸음도 걷지 않을 때가 많습니다.","Home, Sleep"
P68,2,,30,W,SM-G973N,Galaxy Watch4,"출근해서 실내에서 근무하고, 일하면서 걷는거 이외의 큰 운동은 하지않는다",B,P,B,P,"Sleep, Notf",0,1,0,1,Enter,8:00,18:30,7:00,24:00:00,충전시간 제외 항상착용,Shower
P69,1,,20,M,SM-N975F,Galaxy Watch Active,"During this pandemic, most of my activities are done at home. I went out to buy lunch. Usually when I go out I have to go down the stairs and walk about 0.5 km. On this trip I often carry my cellphone instead of using my Samsung smartwatch.Usually after work or college around 3 pm I just bought lunch, usually this afternoon I like to buy ""Nasi Padang"" and the distance to that place takes 0.6 km back and forth at least.",,,,,,,,,,,7:00,15:00,8:00,1:00,"because my college day is really very tired, I usually take advantage of this weekend to rest completely. Like watching a movie or doing an unfinished task. The most mobile activity that is most likely to be done at home is to go upstairs through the stairs to see the scenery. The frequency is quite often about 5 times climbing stairs in 1 day on weekends.","Sleep, Work, Home, Shower, Charge"
P70,1,,47,M,LM-V500N,Gear S3,사무실에서는 별로 안걸음가끔 5킬로 정도 산책함,,,,,,,,,,,9:00,20:00,7:00,24:00:00,저녁에 산책 한시간 가끔함,Sleep
P71,2,,23,M,SM-G991N,Galaxy Watch4,"아침/오후에 도서관에 갈 때, 저녁에 운동하러 나갈때 주로 걷습니다.",N,P,B,P,"Notf, DAT, Exercise",1,1,1,0,Enter,8:00,,7:00,24:00:00,식사 약속이 있을 때나 운동하러 나갈 때 착용합니다,Shower
P72,2,,21,W,SM-N960N,Galaxy Watch4,운동시간이나 산책시간에 보통 30~90분정도 걷습니다.,B,W,B,B,"Sleep, Exercise",0,0,1,1,Enter,8:30,13:00,6:00,3:00,충전하는 시간을 제외하고는 항상 차고있습니다.,Shower
P73,2,,34,W,SM-N981N,Galaxy Watch4 Classic,"아침출근길, 점심시간, 퇴근시간에 주로 걷습니다.",B,N,B,W,"Exercise, Notf",0,1,1,0,,7:50,17:40,7:30,24:00:00,충전이 떨어지지 않으면 계속 착용하고 있습니다.,Shower
P74,1,,45,M,SM-G977N,Galaxy Watch3,"주로 사무실에 앉아 있으며, 제품 확인시 공장 라인 1~3회 이동함.퇴근후 1시간 내외 걷기운동",,,,,,,,,,,9:00,18:00,7:00,1:00,"주말 낮은 집에 있으며, 저녁 나절 30분 정도 걷기","Sleep, Home, Shower"
P75,1,,28,M,SM-G970N,Galaxy Fit2,회사 건물 내를 걷는 정도퇴근 중 걷는 정도 밖에 없음.,,,,,,,,,,,9:00,18:00,7:10,2:10,동네에서 저녁약속이 있는 경우 편도 15분~20분 거리를 걷는 편,"Shower, Home"
P76,2,,29,M,SM-G970N,Galaxy Watch4,"출근시 역→사무실, 가끔 평일 오후시간 산책, 저녁 1주일 3일가량 실내 운동",W,B,B,P,"Sleep, Exercise, Notf",0,1,1,1,,7:40,18:30,7:10,2:00,주중에는 퇴근후 샤워~취침전을 제외하고 모두사용합니다. 주말은 불규칙적입니다.,Shower
P77,2,,34,M,SM-N976N,Galaxy Watch4,출근후 근무시 현장확인하러 1시간 30분정 돌아다니고 그외 일하러 다닙니다,P,P,B,B,Notf,0,1,0,0,Enter,7:15,,3:00,21:00,배터리 충전할때 빼곤 거의 착용 입니다,"Shower, Charge"
P78,1,,19,M,SM-G977N,Galaxy Watch Active2,공부할 때 움직이지 않고 화장실갈 때만 움직잊니다10분거리 헬스장에 가서 운동을 하고 옵니다,,,,,,,,,,,13:00,22:00,13:00,4:00,주말엔 여자친구와 데이트를 하면 많이 걷습니다,"Sleep, Home, Exercise"
P79,2,,29,M,SM-F711N,Galaxy Watch Active2,아침에 카페나 도서관을 오갈때 주로 걷습니다. 점심 저녁 식사 후 1시간정도 산책을 합니다.,P,P,B,P,DAT,1,0,0,0,Enter,8:00,18:00,8:00,23:30,집 밖에 나갈때는 항상 착용함,"Shower, Home"
P80,1,,28,M,SM-N976N,Galaxy Fit2,"주로 컴퓨터 앞에 앉아있는 사무직, 회의나 출력 외엔 일어나는 일이 적음퇴근후 청계천을 40분정도 걷습니다.",,,,,,,,,,,9:00,22:00,7:30,1:00,"점심 저녁먹고선 산책을 30분정도 하거나, 지하철 한두정거장은 걸어갑니다",Home
P81,2,,43,M,SM-A716S,Galaxy Watch Active2,출근 15분 퇴근 15분,N,P,B,P,DAT,1,0,0,0,Enter,7:00,18:00,6:00,23:00,외출시 항상,Shower
P82,1,,26,M,SM-N960N,Galaxy Watch3,"주로 앉아서 일을 하고 회의가 있을시에 층간이동, 식사하러 갈때 차량이동과 함께 걷기일주일에 1~2번씩 퇴근 후 러닝을 약 30분간 수행",,,,,,,,,,,11:00,21:00,10:00,3:00,"주로 집에서 보내고, 가끔 러닝을 약 30분정도 함",Sleep
P83,1,0,29,M,,,걷기집가는길,,,,,,,,,,,8:30,18:00,7:00,24:00:00,집에서,"Sleep, Work"
P84,1,,27,M,"SM-N935S, SM-N971N",Galaxy Watch Active,영상중계장비를 운반 및 설치하면서 걷거나 뛰고 현장지형에 따라 오르내리기도 합니다. 행사 진행시에는 서있거나 앉아있습니다40분 거리의 뚝길로 걸어가 40분간 달리기를 하거나 집에서 50~100분간 피트니스 복싱을 합니다,,,,,,,,,,,12:00,21:00,9:00,2:00,40분 거리의 뚝길로 걸어가 40분간 달리기를 하거나 집에서 50~100분간 피트니스 복싱을 합니다,"Sleep, Home, Shower"
P85,2,,46,W,SM-N976N,Galaxy Watch4,자차를 안해서 거의 걸어다녀요 특히 운동하러 오갈때 왕복40분정도,B,P,B,B,"Exercise, Sleep",0,0,1,1,Enter,,,6:00,1:00,운동시에 착용합니다,"Shower, Toilet"
P86,1,0,43,W,"SM-G965N, SM-G930S",,집에서 책상에 앉아 있거나 밤에 산책합니다밤에 30분~40분정도 산책,,,,,,,,,,,9:00,18:00,7:00,23:00,마트를 가거나 산책 하거나 가끔 산에 갑니다,Home
P87,1,,39,M,SM-N986N,Galaxy Watch3,"현장에서 건축업합니다 공사일정이 있는날에는 거의 서서 일을합니다현장에 늦게 가는날은 헬스장에서 운동후 출근 
퇴근후 8시부터 한시간가량 자전거를 탑니다",,,,,,,,,,,7:00,18:00,5:40,24:00:00,"일없는 주말에는 새벽에 헬스장에서 운동을 하고 
저녁먹고 자전거를 타거나 홈트레이닝을 합니다","Sleep, Home, Shower"
P88,2,,22,M,SM-N950N,Galaxy Watch4,"출근 후, 점심 식사 전 후로 걷고 있고, 퇴근하고 헬스장에서 런닝머신
헬스를 끝마치고 집까지 걸어서 가며, 저녁 식사 후 
1시간 ~ 1시간 반 정도의 산책 시간을 가집니다.",P,N,B,B,Exercise,0,0,1,0,Enter,8:20,18:00,7:40,1:30,"가끔가다 수면 측정을 위해 착용하거나 집 밖에 나갈경우 착용합니다.
집 안에 있을때는 수면 측정 외에는 착용을 하지 않습니다.",Shower
P89,2,,23,M,SM-A516N,Galaxy Fit2,기숙사부터 랩에 출퇴근할 때 또는 여자친구랑 저녁 먹으러 나갈 때 30분 이상 걷곤 합니다.,N,B,B,B,"Notf, DAT",1,1,0,0,Enter,10:30,17:00,10:00,3:00,항상,Shower
P90,1,,35,M,SM-N976N,Galaxy Watch3,학교 교실에서 수업을 듣고 수업 이동 및 자취방 식사 등 대학가 주변 이동집 주변 걷기 / 달리기 등,,,,,,,,,,,8:30,16:50,7:00,24:00:00,주변 친구들 만나러 놀러가기,"Work, Home, Exercise, Sleep"
P91,1,,26,W,"SM-G960N, SM-G998N",Galaxy Watch3,화장실갈 때를 제외하고는 거의 움직이지않음. 연구실에서 컴퓨터로 일함퇴근후 장 보는정도로 걷는 것이 다이고 가끔 집에서 링피트로 운동합니다.,,,,,,,,,,,11:00,18:00,8:00,24:00:00,주로 집에 있는편이지만 한번씩 골프치러가고 30분정도 짧은 시간 산책하는 경우가 있습니다.,"Shower, Sleep"
P92,1,,28,M,SM-N976N,Galaxy Watch Active2,"주로 사무실에 앉아서 컴퓨터를 이용하고, 실험과 출퇴근을 위해 걷습니다.퇴근 후 10분 정도 거리 집에 가서 1시간 정도 운동합니다.",,,,,,,,,,,9:30,21:00,8:30,24:00:00,주로 차를 타고 다니며 쇼핑몰 등에서 쇼핑을 하며 걷습니다.,"Sleep, Home, Exercise"
P93,1,0,35,M,"SM-G986N, SM-A520L",,사무실에 앉아서 일하고 회의외 이동할일이 매우 적음점심시간 때 산책을 갑니다 보통 40분 정도 소요됨,,,,,,,,,,,8:30,18:00,7:05,24:00:00,"아이와 함께 산책, 또는 외부활동","Sleep, Work, Shower"
P94,2,0,16,M,,Galaxy Watch4 Classic,"학교 교내에서의 교실과 매점을 오갈때, 소속 교실과 이동수업 교실을 오갈때",N,P,W,P,Notf,0,1,0,0,Enter,8:00,16:40,7:40,24:00:00,외출하게 되면 착용 할때가 있습니다. 외출 할때 착용하지 않는 경우도 있습니다.,Shower
P95,2,,31,W,SM-G973N,Galaxy Watch3,평일에는 걸어서 출퇴근하고 주말 많이 걷습니다.,P,P,B,P,Notf,0,1,0,0,,7:40,,6:40,24:00:00,주말에 집 밖에 나갈때 사용합니다,Shower
P96,2,,22,M,SM-N971N,Galaxy Watch Active2,"주로 온라인 수업을 들으니 집에서 몇걸음 걷고, 마트갈 때 10분걷는 것이 전부입니다",B,B,B,B,"Notf, DAT",1,1,0,0,Enter,,,8:00,23:00,"충전, 샤워 제외 24시간","Shower, Charge"
P97,1,,22,M,"SM-G960N, SM-F711N","Galaxy Watch4, Gear S3, Galaxy Fit2",학생이라 놀러갈 때만 움직임대학생이고 온라인 수업이라 퇴근의 개념이 없음,,,,,,,,,,,8:00,16:00,8:00,23:00,친만나거 가는 길은 약 200m정도 거리를 버스정류장까지 걸어가고 목적지 도달 후 수백미터를 최종목적지까지 걸어감,Charge
P98,2,,35,M,SM-F926N,Galaxy Watch Active2,회사내 이동시 걸어다닙니다,P,P,B,P,"Notf, DAT",1,1,0,0,Enter,8:00,20:00,6:00,24:00:00,산책시,Shower
P99,1,,25,M,"SM-G981N, SM-F711N","Galaxy Watch4 Classic, Galaxy Watch",교내에 수업을 위한 이동에 걸음은 소모하고 걷기 운동을 하고 있습니다.퇴근 후 1시간 정도 주변 산책을 하려고 노력합니다.,,,,,,,,,,,9:00,17:00,8:00,24:00:00,주말에 한 시간 정도 동네 주변을 산책하고 있습니다.,"Exercise, Sleep"